"id";"lang";"label";"type";"code";"iso3"
"Q145";"fr";"R.U.";"country_name";"NA_GBR";"GBR"
"Q145";"fr";"Royaume Uni";"country_name";"NA_GBR";"GBR"
"Q145";"fr";"Royaume-Uni";"country_name";"NA_GBR";"GBR"
"Q145";"fr";"Royaume-uni";"country_name";"NA_GBR";"GBR"
"Q145";"fr";"Royaume-Uni de Grande-Bretagne et d Irlande du Nord";"country_name";"NA_GBR";"GBR"
"Q84";"fr";"London";"capital_city";"CA_GBR";"GBR"
"Q84";"fr";"Londres";"capital_city";"CA_GBR";"GBR"
"Q230";"fr";"Géorg.";"country_name";"NA_GEO";"GEO"
"Q230";"fr";"Géorgie";"country_name";"NA_GEO";"GEO"
"Q230";"fr";"Géorgie (Pays)";"country_name";"NA_GEO";"GEO"
"Q230";"fr";"république de Géorgie";"country_name";"NA_GEO";"GEO"
"Q994";"fr";"Tbilissi";"capital_city";"CA_GEO";"GEO"
"Q994";"fr";"Tiflis";"capital_city";"CA_GEO";"GEO"
"Q117";"fr";"Ghana";"country_name";"NA_GHA";"GHA"
"Q117";"fr";"la République du Ghana";"country_name";"NA_GHA";"GHA"
"Q117";"fr";"République du Ghana";"country_name";"NA_GHA";"GHA"
